"","site","date","Ice","Pond","Open Water","All Water"
"1","beaufo",1999-07-28,0.641102941176471,0.292588235294118,0.0659558823529412,0.358897058823529
"2","beaufo",1999-08-06,0.22704,NA,NA,0.77296
"3","beaufo",1999-08-10,0.613782991202346,0.316451612903226,0.0698240469208211,0.386217008797654
"4","beaufo",1999-08-22,0.0578,NA,NA,0.9422
"5","beaufo",1999-09-14,0.555,NA,NA,0.445
"6","beaufo",2000-06-21,0.4704,NA,NA,0.5296
"7","beaufo",2000-07-03,0.706428571428571,NA,NA,0.293571428571429
"8","beaufo",2000-07-14,0.7392,0.2339,0.0268,0.2608
"9","beaufo",2000-07-21,0.616171003717472,0.340483271375465,0.0433085501858736,0.383828996282528
"10","beaufo",2000-08-15,0.251805555555556,NA,NA,0.748194444444444
"11","beaufo",2000-08-25,0.233125,0.0957142857142857,0.69237012987013,0.766875
"12","beaufo",2000-08-31,0.120827702702703,0.0916554054054054,0.787111486486486,0.879155405405405
"13","beaufo",2000-09-02,0.119510869565217,0.0705253623188406,0.80981884057971,0.880489130434783
"14","beaufo",2001-06-13,0.785523156089194,NA,NA,0.214493996569468
"15","beaufo",2001-06-28,0.704426229508197,0.256475409836066,0.0390573770491803,0.295573770491803
"16","beaufo",2001-07-04,0.713396739130435,0.194646739130435,0.0916847826086957,0.286603260869565
"17","beaufo",2001-07-11,0.674132492113565,NA,NA,0.325867507886435
"18","beaufo",2001-07-16,0.78864553314121,0.177752161383285,0.0341210374639769,0.21135446685879
"19","beaufo",2001-07-31,0.653333333333333,NA,NA,0.346666666666667
"20","beaufo",2001-08-09,0.6675,NA,NA,0.3325
"21","beaufo",2001-08-24,0.418164251207729,NA,NA,0.581690821256039
"22","beaufo",2001-08-29,0.365551724137931,NA,NA,0.634448275862069
"23","beaufo",2001-09-03,0.291945288753799,0.136018237082067,0.572279635258359,0.708054711246201
"24","cacana",1999-08-16,0.76981308411215,0.207570093457944,0.0222429906542056,0.23018691588785
"25","cacana",1999-08-19,0.809424460431655,0.18,0.00992805755395683,0.190575539568345
"26","cacana",1999-08-20,0.723693181818182,0.217755681818182,0.0585795454545455,0.276306818181818
"27","cacana",1999-08-21,0.888333333333333,NA,NA,0.111666666666667
"28","cacana",1999-08-26,0.762509090909091,0.213672727272727,0.0230545454545455,0.237490909090909
"29","cacana",2000-06-22,0.852694610778443,0.134880239520958,0.0121556886227545,0.147305389221557
"30","cacana",2000-06-25,0.828181818181818,0.170474308300395,0.00130434782608696,0.171818181818182
"31","cacana",2000-06-28,0.700340050377834,0.268513853904282,0.0307808564231738,0.299659949622166
"32","cacana",2000-06-29,0.645742574257426,0.343861386138614,0.0101980198019802,0.354257425742574
"33","cacana",2000-07-05,0.78131498470948,0.184189602446483,0.0341284403669725,0.21868501529052
"34","cacana",2000-07-10,0.730102040816327,0.169897959183673,0.100102040816327,0.269897959183673
"35","cacana",2000-07-27,0.759660377358491,0.204452830188679,0.0359245283018868,0.240339622641509
"36","cacana",2000-08-15,0.738044164037855,0.166908517350158,0.0947003154574133,0.261955835962145
"37","cacana",2001-06-30,0.951818181818182,NA,NA,0.0481818181818182
"38","cacana",2001-07-03,0.946538461538462,0.0453846153846154,0.00846153846153846,0.0534615384615385
"39","cacana",2001-07-08,0.91358024691358,0.0749382716049383,0.0111728395061728,0.0864197530864197
"40","cacana",2001-08-02,0.79957671957672,0.104920634920635,0.0956084656084656,0.20042328042328
"41","cacana",2001-08-10,0.838313953488372,0.128197674418605,0.0331686046511628,0.161686046511628
